,invoice_no,category,item,quantity,price,customer_id,date_key,payment_method,card_type,shopping_mall,city,province_state,country,first_name,last_name,gender,age,dob,is_churned,days_since_last_purchase,tenure,discount_used,last_purchase_date,purchase_frequency,avg_purchase_value,day_of_week,month,year,quarter,is_holiday,total_spent,purchase_count
10,100010,Body Care and Hygiene,Hand Sanitizer,4,21.72,233,2020-12-21,Credit Card - Visa,Visa,Pheasant Lane Mall,Nashua,New Hampshire,US,Jonathan,Gray,Female,32.0,1992-04-01,0.0,636.0,6.0,0.0,2023-09-14,44.0,30.76,Monday,December,2020,2020Q4,0,431.86,12
11,100011,Body Care and Hygiene,Hand Sanitizer,3,9.02,443,2022-02-09,Debit Card - Visa,Visa,The Grove,Los Angeles,California,US,Nicholas,Allen,Other,25.0,1999-05-02,0.0,993.0,7.0,1.0,2023-10-27,25.0,175.76,Wednesday,February,2022,2022Q1,0,304.03,9
12,100012,Hair Care,Conditioner,1,12.45,567,2022-02-20,Cash,,Town Center at Boca Raton,Boca Raton,Florida,US,Amanda,Shaffer,Female,57.0,1967-03-30,1.0,950.0,7.0,1.0,2022-11-27,40.0,164.95,Sunday,February,2022,2022Q1,1,370.5,10
13,100013,Oral Care,Toothpaste,4,12.64,272,2021-12-18,Debit Card - Visa,Visa,Stanford Shopping Center,Palo Alto,California,US,Austin,Spence,Female,44.0,1981-02-16,1.0,336.0,10.0,1.0,2021-05-24,7.0,341.15,Saturday,December,2021,2021Q4,1,197.57,9
14,100014,Oral Care,Mouthwash,1,2.58,878,2020-01-03,Debit Card - Visa,Visa,Park Meadows,Lone Tree,Colorado,US,Tracy,Underwood,Male,60.0,1964-10-12,1.0,197.0,8.0,1.0,2021-02-25,45.0,177.4,Friday,January,2020,2020Q1,0,167.63,8
15,100015,Hair Care,Hair Oil,4,6.3,412,2024-06-03,Google Pay,,Brookfield Place,New York,New York,US,Curtis,Salazar,Other,53.0,1972-02-01,0.0,489.0,6.0,1.0,2023-02-11,21.0,15.36,Monday,June,2024,2024Q2,0,528.64,14
16,100016,Skin Care,Sunscreen,3,49.9,517,2020-04-12,BNPL (Buy Now, Pay Later),The Oracle,Reading,Berkshire,UK,David,Ferguson,Male,70.0,1954-03-16,1.0,1338.0,10.0,1.0,2021-10-16,21.0,496.17,Sunday,April,2020,2020Q2,1,489.19,11
17,100017,Hair Care,Hair Oil,4,19.32,711,2023-03-10,Debit Card - Visa,Visa,The Streets at Southpoint,Durham,North Carolina,US,Kelly,Shaw,Female,42.0,1982-07-16,1.0,1445.0,1.0,0.0,2023-07-02,37.0,143.09,Friday,March,2023,2023Q1,0,325.7,7
18,100018,Hair Care,Shampoo,1,9.44,932,2020-07-20,Google Pay,,South Coast Plaza,Costa Mesa,California,US,Tara,Pierce,Other,65.0,1959-03-08,1.0,962.0,5.0,1.0,2021-08-16,4.0,147.26,Monday,July,2020,2020Q3,0,166.62,6
19,100019,Body Care and Hygiene,Body Lotion,2,21.05,362,2021-11-15,BNPL (Buy Now, Pay Later),Lakeside Shopping Centre,Thurrock,Essex,UK,Janice,James,Female,63.0,1961-12-16,0.0,765.0,9.0,1.0,2023-10-02,34.0,121.43,Monday,November,2021,2021Q4,0,340.1,8
20,100020,Hair Care,Hair Oil,4,48.02,586,2024-03-07,Debit Card - MasterCard,MasterCard,Scottsdale Fashion Square,Scottsdale,Arizona,US,Mariah,Dunn,Female,36.0,1988-08-04,1.0,862.0,10.0,0.0,2023-01-07,2.0,273.75,Thursday,March,2024,2024Q1,0,549.95,11
21,100021,Hair Care,Hair Oil,2,35.65,962,2025-02-09,Google Pay,,The Americana at Brand,Glendale,California,US,Sara,Goodwin,Other,50.0,1974-03-19,1.0,1371.0,8.0,0.0,2022-11-24,50.0,195.4,Sunday,February,2025,2025Q1,1,140.14,5
22,100022,Body Care and Hygiene,Hand Sanitizer,2,12.85,244,2023-01-21,Debit Card - MasterCard,MasterCard,International Plaza and Bay Street,Tampa,Florida,US,Shane,Morris,Male,52.0,1972-08-30,1.0,988.0,5.0,1.0,2023-01-11,30.0,111.36,Saturday,January,2023,2023Q1,1,633.8,21
23,100023,Body Care and Hygiene,Deodorant,4,11.58,597,2020-07-06,BNPL (Buy Now, Pay Later),International Plaza and Bay Street,Tampa,Florida,US,Kimberly,Fischer,Female,49.0,1975-11-09,1.0,662.0,9.0,1.0,2022-01-23,44.0,199.2,Monday,July,2020,2020Q3,0,430.01,12
24,100024,Body Care and Hygiene,Hand Sanitizer,2,5.37,883,2024-06-20,Google Pay,,Westfield London,London,England,UK,Kelly,Davis,Male,59.0,1965-03-12,0.0,227.0,10.0,0.0,2024-03-23,12.0,178.82,Thursday,June,2024,2024Q2,0,256.12,12
25,100025,Oral Care,Mouthwash,2,19.96,829,2024-11-11,PayPal,,Trafford Centre,Manchester,England,UK,Danielle,Ayala,Female,67.0,1957-05-13,1.0,428.0,9.0,1.0,2020-03-28,35.0,304.53,Monday,November,2024,2024Q4,0,370.49,10
26,100026,Body Care and Hygiene,Hand Sanitizer,4,12.12,327,2024-06-26,Apple Pay,,Stonebriar Centre,Frisco,Texas,US,Mitchell,Morris,Female,54.0,1970-11-01,1.0,400.0,4.0,1.0,2021-06-13,10.0,421.83,Wednesday,June,2024,2024Q2,0,163.42,5
27,100027,Hair Care,Shampoo,2,42.19,335,2020-07-18,BNPL (Buy Now, Pay Later),The Americana at Brand,Glendale,California,US,Stephanie,Adams,Male,57.0,1967-11-17,0.0,101.0,6.0,1.0,2021-01-01,22.0,343.92,Saturday,July,2020,2020Q3,1,318.6,10
28,100028,Oral Care,Toothpaste,2,7.73,514,2021-11-14,PayPal,,Bloor-Yorkville,Toronto,Ontario,Canada,Tony,Duke,Female,39.0,1985-07-03,0.0,635.0,6.0,0.0,2024-09-20,35.0,333.68,Sunday,November,2021,2021Q4,1,336.44,12
29,100029,Skin Care,Lip Balm,4,11.53,919,2024-09-02,BNPL (Buy Now, Pay Later),Yorkdale Shopping Centre,Toronto,Ontario,Canada,Susan,Stevenson,Male,54.0,1970-10-10,0.0,33.0,6.0,0.0,2024-12-02,20.0,465.13,Monday,September,2024,2024Q3,0,392.33,14
30,100030,Skin Care,Lip Balm,1,10.28,379,2020-08-26,Credit Card - MasterCard,MasterCard,Cherry Creek Shopping Center,Denver,Colorado,US,Kelly,Jones,Female,68.0,1957-01-27,0.0,1063.0,1.0,1.0,2021-08-17,32.0,409.54,Wednesday,August,2020,2020Q3,0,396.58,12
31,100031,Body Care and Hygiene,Hand Sanitizer,4,7.83,37,2022-09-23,BNPL (Buy Now, Pay Later),Easton Town Center,Columbus,Ohio,US,Kayla,Holland,Male,70.0,1954-06-17,1.0,368.0,2.0,0.0,2020-04-27,50.0,112.07,Friday,September,2022,2022Q3,0,95.03,5
32,100032,Hair Care,Shampoo,2,17.87,303,2020-08-11,Debit Card - MasterCard,MasterCard,Easton Town Center,Columbus,Ohio,US,Meagan,Brown,Male,55.0,1969-12-28,1.0,1416.0,7.0,0.0,2024-09-13,5.0,464.56,Tuesday,August,2020,2020Q3,0,291.14,10
33,100033,Hair Care,Conditioner,1,25.65,715,2024-03-10,Debit Card - MasterCard,MasterCard,Bellevue Square,Bellevue,Washington,US,William,Hines,Male,54.0,1970-11-28,0.0,772.0,6.0,0.0,2021-10-14,24.0,380.9,Sunday,March,2024,2024Q1,1,183.36,9
34,100034,Skin Care,Lip Balm,2,62.69,124,2024-06-07,Credit Card - Visa,Visa,International Plaza and Bay Street,Tampa,Florida,US,Edward,Hernandez,Other,30.0,1994-05-28,0.0,580.0,10.0,0.0,2023-01-27,31.0,400.09,Friday,June,2024,2024Q2,0,336.78000000000003,8
35,100035,Skin Care,Lip Balm,3,49.31,889,2023-01-07,Credit Card - Visa,Visa,CambridgeSide,Cambridge,Massachusetts,US,Karen,Jennings,Female,42.0,1982-04-01,0.0,1027.0,7.0,0.0,2021-09-08,20.0,236.42,Saturday,January,2023,2023Q1,1,193.54,7
36,100036,Oral Care,Toothpaste,4,17.74,649,2021-03-12,BNPL (Buy Now, Pay Later),NorthPark Center,Dallas,Texas,US,Louis,Martin,Female,63.0,1961-12-29,0.0,910.0,8.0,0.0,2022-01-04,29.0,489.65,Friday,March,2021,2021Q1,0,464.78999999999996,11
37,100037,Skin Care,Face Wash,4,27.08,520,2024-09-18,Debit Card - MasterCard,MasterCard,South Coast Plaza,Costa Mesa,California,US,Mark,Brewer,Other,33.0,1991-06-05,0.0,1648.0,2.0,1.0,2024-02-02,35.0,417.26,Wednesday,September,2024,2024Q3,0,369.35,9
38,100038,Body Care and Hygiene,Body Lotion,3,24.64,234,2024-08-29,PayPal,,King of Prussia Mall,Philadelphia,Pennsylvania,US,Jason,Collins,Other,50.0,1974-10-01,0.0,1689.0,7.0,1.0,2024-12-20,39.0,467.33,Thursday,August,2024,2024Q3,0,449.95,15
39,100039,Body Care and Hygiene,Body Lotion,4,13.93,331,2022-06-20,Credit Card - MasterCard,MasterCard,Metrocentre,Gateshead,Tyne and Wear,UK,Johnny,Moore,Female,21.0,2003-02-27,0.0,547.0,8.0,0.0,2020-07-07,1.0,369.82,Monday,June,2022,2022Q2,0,294.41,10
40,100040,Hair Care,Conditioner,2,46.87,791,2022-03-06,Apple Pay,,Park Meadows,Lone Tree,Colorado,US,Patrick,Ingram,Female,27.0,1997-06-16,1.0,1226.0,2.0,1.0,2020-01-23,5.0,280.29,Sunday,March,2022,2022Q1,1,421.45000000000005,14
41,100041,Body Care and Hygiene,Deodorant,1,16.56,131,2022-03-08,Apple Pay,,King of Prussia Mall,Philadelphia,Pennsylvania,US,Daniel,Gomez,Female,56.0,1969-01-12,0.0,176.0,3.0,0.0,2021-01-01,11.0,323.96,Tuesday,March,2022,2022Q1,0,449.55,16
42,100042,Body Care and Hygiene,Body Lotion,4,24.87,911,2024-05-17,BNPL (Buy Now, Pay Later),Trafford Centre,Manchester,England,UK,Danielle,Swanson,Female,69.0,1955-07-12,1.0,1182.0,2.0,1.0,2024-10-17,44.0,459.03,Friday,May,2024,2024Q2,0,239.59,8
43,100043,Skin Care,Sunscreen,4,43.14,675,2022-11-03,Cash,,Yorkdale Shopping Centre,Toronto,Ontario,Canada,Deborah,Sanchez,Male,26.0,1998-10-04,0.0,1729.0,7.0,0.0,2020-04-02,44.0,84.18,Thursday,November,2022,2022Q4,0,370.15999999999997,9
44,100044,Body Care and Hygiene,Deodorant,3,26.93,404,2024-06-14,Google Pay,,Bayshore Shopping Centre,Ottawa,Ontario,Canada,David,Avila,Other,70.0,1955-01-23,0.0,617.0,4.0,1.0,2024-07-06,45.0,18.07,Friday,June,2024,2024Q2,0,464.22,15
45,100045,Oral Care,Mouthwash,1,14.64,496,2022-04-25,Credit Card - AMEX,AMEX,International Plaza and Bay Street,Tampa,Florida,US,Danielle,Perkins,Other,68.0,1956-10-26,1.0,1270.0,1.0,0.0,2022-12-18,34.0,457.11,Monday,April,2022,2022Q2,0,385.46,11
46,100046,Hair Care,Conditioner,4,45.04,735,2021-05-18,Credit Card - Visa,Visa,Metrocentre,Gateshead,Tyne and Wear,UK,Joshua,Johnson,Other,53.0,1971-05-20,0.0,1.0,1.0,1.0,2021-08-23,16.0,14.27,Tuesday,May,2021,2021Q2,0,249.07,8
47,100047,Skin Care,Face Wash,1,77.83,127,2023-10-17,Credit Card - MasterCard,MasterCard,Tysons Corner Center,McLean,Virginia,US,Erin,Henson,Other,48.0,1976-11-03,0.0,1712.0,4.0,1.0,2020-08-12,32.0,428.46,Tuesday,October,2023,2023Q4,0,427.28999999999996,12
48,100048,Oral Care,Toothpaste,2,4.29,969,2023-01-14,Debit Card - Visa,Visa,Town Center at Boca Raton,Boca Raton,Florida,US,Robert,Skinner,Female,62.0,1962-03-13,0.0,1696.0,8.0,0.0,2022-08-02,47.0,80.45,Saturday,January,2023,2023Q1,1,502.96000000000004,16
49,100049,Hair Care,Conditioner,1,41.97,424,2022-07-11,Credit Card - AMEX,AMEX,The Mall at Millenia,Orlando,Florida,US,Bryan,Beck,Male,63.0,1962-01-07,0.0,1285.0,3.0,1.0,2021-06-13,29.0,297.43,Monday,July,2022,2022Q3,0,395.17,13
50,100050,Body Care and Hygiene,Hand Sanitizer,1,12.66,337,2021-02-10,Google Pay,,The Shops at La Cantera,San Antonio,Texas,US,Jill,Fox,Male,60.0,1964-10-01,0.0,1520.0,6.0,0.0,2021-05-12,5.0,267.55,Wednesday,February,2021,2021Q1,0,229.12,8
51,100051,Body Care and Hygiene,Hand Sanitizer,1,17.89,354,2022-02-20,Google Pay,,The Oracle,Reading,Berkshire,UK,Jeremy,Wilson,Female,48.0,1976-12-08,1.0,569.0,8.0,1.0,2021-02-22,50.0,419.49,Sunday,February,2022,2022Q1,1,335.08,11
52,100052,Body Care and Hygiene,Body Lotion,2,10.88,344,2022-06-26,Cash,,South Coast Plaza,Costa Mesa,California,US,Kyle,Bennett,Other,28.0,1996-05-02,1.0,607.0,3.0,0.0,2023-07-24,3.0,319.3,Sunday,June,2022,2022Q2,1,316.11,11
53,100053,Skin Care,Sunscreen,2,98.3,579,2024-08-11,PayPal,,Bluewater Shopping Centre,Dartford,Kent,UK,Roger,Forbes,Other,65.0,1960-01-20,0.0,190.0,9.0,0.0,2021-12-02,43.0,440.82,Sunday,August,2024,2024Q3,1,569.85,10
54,100054,Skin Care,Moisturizer,4,74.46,81,2021-07-10,Credit Card - MasterCard,MasterCard,Westfield London,London,England,UK,Scott,Bishop,Other,28.0,1997-01-30,0.0,212.0,8.0,1.0,2020-09-27,45.0,479.04,Saturday,July,2021,2021Q3,1,398.53,11
55,100055,Body Care and Hygiene,Deodorant,1,15.96,857,2022-10-02,Debit Card - Visa,Visa,The Domain,Austin,Texas,US,Connie,James,Female,20.0,2004-09-20,0.0,266.0,8.0,1.0,2022-08-09,13.0,177.87,Sunday,October,2022,2022Q4,1,227.99,7
56,100056,Skin Care,Lip Balm,3,30.45,605,2020-06-03,Credit Card - AMEX,AMEX,Perimeter Mall,Atlanta,Georgia,US,Jason,Bell,Female,49.0,1975-11-22,1.0,1408.0,7.0,1.0,2022-02-17,14.0,78.18,Wednesday,June,2020,2020Q2,0,177.32,8
57,100057,Body Care and Hygiene,Hand Sanitizer,3,16.09,208,2020-11-26,Cash,,Bellevue Square,Bellevue,Washington,US,Steven,Davidson,Other,34.0,1990-06-03,1.0,1192.0,1.0,0.0,2022-01-11,39.0,230.61,Thursday,November,2020,2020Q4,0,453.92,13
58,100058,Skin Care,Lip Balm,3,80.08,627,2022-02-01,Cash,,Meadowhall,Sheffield,South Yorkshire,UK,Kenneth,Weaver,Other,69.0,1955-08-07,1.0,522.0,8.0,1.0,2023-05-04,29.0,171.98,Tuesday,February,2022,2022Q1,0,351.11,12
59,100059,Hair Care,Shampoo,4,20.61,519,2020-01-09,PayPal,,Roosevelt Field,Garden City,New York,US,Nancy,Osborne,Other,64.0,1960-11-20,0.0,887.0,5.0,0.0,2020-09-03,39.0,311.33,Thursday,January,2020,2020Q1,0,331.63,8
60,100060,Oral Care,Toothpaste,4,12.74,239,2024-09-14,Debit Card - Visa,Visa,Dolphin Mall,Miami,Florida,US,Joshua,Taylor,Male,29.0,1996-02-11,1.0,688.0,5.0,0.0,2021-07-19,49.0,407.01,Saturday,September,2024,2024Q3,1,302.86,11
61,100061,Hair Care,Hair Oil,2,30.95,344,2022-05-24,Credit Card - Visa,Visa,Dolphin Mall,Miami,Florida,US,Kyle,Bennett,Other,28.0,1996-05-02,1.0,607.0,3.0,0.0,2023-07-24,3.0,319.3,Tuesday,May,2022,2022Q2,0,316.11,11
62,100062,Oral Care,Mouthwash,1,9.97,714,2022-02-19,Apple Pay,,Stanford Shopping Center,Palo Alto,California,US,Jason,Russell,Male,31.0,1993-10-13,1.0,103.0,5.0,0.0,2020-09-25,6.0,248.73,Saturday,February,2022,2022Q1,1,163.51,7
63,100063,Skin Care,Moisturizer,4,39.87,139,2020-07-04,PayPal,,The Grove,Los Angeles,California,US,Scott,Morse,Other,49.0,1975-05-22,1.0,1232.0,7.0,0.0,2022-11-28,26.0,480.51,Saturday,July,2020,2020Q3,1,448.87,14
64,100064,Hair Care,Hair Oil,1,13.6,694,2020-10-12,Apple Pay,,Bellevue Square,Bellevue,Washington,US,Lori,Hicks,Male,55.0,1969-10-02,0.0,22.0,10.0,0.0,2021-11-12,20.0,237.96,Monday,October,2020,2020Q4,0,161.14,9
65,100065,Body Care and Hygiene,Body Lotion,3,5.08,729,2024-01-22,Credit Card - Visa,Visa,The Trafford Centre,Manchester,Greater Manchester,UK,Crystal,Nelson,Female,22.0,2002-03-24,0.0,229.0,6.0,0.0,2023-10-12,33.0,33.42,Monday,January,2024,2024Q1,0,140.92,4
66,100066,Body Care and Hygiene,Body Lotion,3,12.16,753,2021-08-04,PayPal,,The Streets at Southpoint,Durham,North Carolina,US,Timothy,Brady,Male,66.0,1958-05-30,1.0,1379.0,4.0,1.0,2023-06-10,7.0,409.19,Wednesday,August,2021,2021Q3,0,121.27,7
67,100067,Skin Care,Face Wash,4,79.99,558,2022-01-29,Debit Card - Visa,Visa,Lenox Square,Atlanta,Georgia,US,Mallory,Gross,Other,24.0,2000-07-02,1.0,345.0,3.0,1.0,2022-06-24,14.0,438.46,Saturday,January,2022,2022Q1,1,581.26,12
68,100068,Skin Care,Sunscreen,2,34.68,781,2022-05-02,Google Pay,,Bluewater Shopping Centre,Dartford,Kent,UK,James,Montgomery,Female,56.0,1968-05-07,0.0,51.0,5.0,1.0,2024-01-23,12.0,379.59,Monday,May,2022,2022Q2,0,336.5,14
69,100069,Skin Care,Face Wash,2,20.4,149,2024-07-06,Debit Card - MasterCard,MasterCard,Perimeter Mall,Atlanta,Georgia,US,Kathy,Moore,Other,31.0,1993-05-04,1.0,1291.0,7.0,0.0,2022-10-26,50.0,280.97,Saturday,July,2024,2024Q3,1,291.16,17
70,100070,Oral Care,Mouthwash,3,13.76,344,2022-10-14,PayPal,,NorthPark Center,Dallas,Texas,US,Kyle,Bennett,Other,28.0,1996-05-02,1.0,607.0,3.0,0.0,2023-07-24,3.0,319.3,Friday,October,2022,2022Q4,0,316.11,11
71,100071,Body Care and Hygiene,Body Lotion,1,6.67,341,2021-06-15,PayPal,,Roosevelt Field,Garden City,New York,US,Wesley,Marquez,Female,69.0,1955-07-25,0.0,535.0,2.0,1.0,2024-08-16,15.0,24.7,Tuesday,June,2021,2021Q2,0,219.13,9
72,100072,Oral Care,Mouthwash,4,10.9,598,2020-01-10,Credit Card - MasterCard,MasterCard,Metrocentre,Gateshead,Tyne and Wear,UK,Michael,Adams,Male,28.0,1997-02-09,1.0,1625.0,1.0,0.0,2023-03-08,2.0,334.09,Friday,January,2020,2020Q1,0,394.93,9
73,100073,Body Care and Hygiene,Hand Sanitizer,1,13.11,68,2022-10-06,Debit Card - MasterCard,MasterCard,Meadowhall,Sheffield,South Yorkshire,UK,Natasha,Wright,Female,56.0,1968-09-08,0.0,1010.0,6.0,0.0,2024-06-26,24.0,395.23,Thursday,October,2022,2022Q4,0,460.97,13
74,100074,Body Care and Hygiene,Hand Sanitizer,1,28.75,414,2022-07-18,Debit Card - MasterCard,MasterCard,Westfield London,London,England,UK,Erik,Pierce,Male,53.0,1971-05-14,0.0,30.0,6.0,1.0,2024-08-18,20.0,100.75,Monday,July,2022,2022Q3,0,500.24,15
75,100075,Body Care and Hygiene,Body Lotion,3,13.24,939,2024-11-03,PayPal,,The Streets at Southpoint,Durham,North Carolina,US,Daniel,Collins,Female,18.0,2007-02-10,1.0,898.0,6.0,1.0,2024-05-02,4.0,472.45,Sunday,November,2024,2024Q4,1,309.07,11
76,100076,Oral Care,Mouthwash,2,6.29,489,2024-03-07,Apple Pay,,Cherry Creek Shopping Center,Denver,Colorado,US,Brittany,Hall,Other,70.0,1954-12-22,1.0,610.0,3.0,1.0,2023-03-23,1.0,5.01,Thursday,March,2024,2024Q1,0,415.89,17
77,100077,Hair Care,Shampoo,4,26.4,586,2021-05-07,Apple Pay,,Stonebriar Centre,Frisco,Texas,US,Mariah,Dunn,Female,36.0,1988-08-04,1.0,862.0,10.0,0.0,2023-01-07,2.0,273.75,Friday,May,2021,2021Q2,0,549.95,11
78,100078,Hair Care,Conditioner,4,7.14,276,2024-05-01,Debit Card - MasterCard,MasterCard,Palisades Center,West Nyack,New York,US,Andrew,Valdez,Other,63.0,1961-12-31,1.0,782.0,2.0,1.0,2022-03-16,26.0,352.41,Wednesday,May,2024,2024Q2,0,371.14,10
79,100079,Hair Care,Conditioner,3,13.68,708,2024-05-06,Apple Pay,,Bayshore Shopping Centre,Ottawa,Ontario,Canada,Jonathan,Pennington,Other,18.0,2006-10-09,0.0,1155.0,9.0,1.0,2020-03-18,50.0,63.2,Monday,May,2024,2024Q2,0,127.83,7
80,100080,Hair Care,Conditioner,4,10.33,640,2022-05-05,Credit Card - Visa,Visa,The Americana at Brand,Glendale,California,US,Shawn,Webster,Other,19.0,2005-11-14,1.0,358.0,7.0,1.0,2025-01-06,25.0,93.72,Thursday,May,2022,2022Q2,0,467.40999999999997,14
81,100081,Skin Care,Sunscreen,1,41.38,63,2023-04-01,Credit Card - MasterCard,MasterCard,Arndale Centre,Manchester,Greater Manchester,UK,Dustin,Turner,Other,44.0,1980-07-14,0.0,506.0,5.0,0.0,2024-04-07,15.0,452.03,Saturday,April,2023,2023Q2,1,482.03999999999996,12
82,100082,Skin Care,Face Wash,3,15.88,455,2023-04-09,BNPL (Buy Now, Pay Later),Town Center at Boca Raton,Boca Raton,Florida,US,Aimee,Warren,Other,69.0,1955-11-16,0.0,491.0,10.0,0.0,2024-03-06,26.0,451.04,Sunday,April,2023,2023Q2,1,351.85,8
83,100083,Body Care and Hygiene,Body Lotion,3,29.95,807,2024-04-04,PayPal,,The Galleria,Houston,Texas,US,Daniel,Ramos,Other,23.0,2002-01-16,0.0,1753.0,7.0,1.0,2023-03-09,41.0,112.39,Thursday,April,2024,2024Q2,0,549.53,14
84,100084,Skin Care,Lip Balm,2,30.06,887,2023-02-16,BNPL (Buy Now, Pay Later),Cherry Creek Shopping Center,Denver,Colorado,US,Jeremy,White,Male,70.0,1954-06-02,1.0,1075.0,4.0,0.0,2021-11-26,10.0,78.52,Thursday,February,2023,2023Q1,0,275.03999999999996,7
85,100085,Skin Care,Moisturizer,1,10.73,785,2021-12-30,Credit Card - AMEX,AMEX,Bayshore Shopping Centre,Ottawa,Ontario,Canada,Harry,Nguyen,Other,49.0,1975-09-01,0.0,1225.0,1.0,1.0,2021-11-26,18.0,425.66,Thursday,December,2021,2021Q4,0,302.42,8
86,100086,Hair Care,Hair Oil,1,23.81,824,2024-01-19,Credit Card - MasterCard,MasterCard,Park Meadows,Lone Tree,Colorado,US,Melissa,Copeland,Male,43.0,1981-03-11,0.0,1072.0,5.0,0.0,2024-09-04,26.0,95.03,Friday,January,2024,2024Q1,0,290.84,11
87,100087,Body Care and Hygiene,Deodorant,3,7.8,402,2024-08-30,Debit Card - MasterCard,MasterCard,SouthPark,Charlotte,North Carolina,US,Kristin,Dodson,Other,23.0,2001-06-15,0.0,408.0,7.0,1.0,2021-03-24,28.0,172.55,Friday,August,2024,2024Q3,0,259.41999999999996,10
88,100088,Body Care and Hygiene,Body Lotion,1,7.47,725,2020-06-12,PayPal,,The Shops at Columbus Circle,New York,New York,US,Claire,Ibarra,Male,40.0,1985-02-18,1.0,680.0,3.0,0.0,2022-05-24,44.0,449.56,Friday,June,2020,2020Q2,0,257.28,13
89,100089,Skin Care,Sunscreen,4,99.93,72,2020-04-01,Credit Card - Visa,Visa,Westfield Century City,Los Angeles,California,US,David,Lewis,Other,55.0,1969-07-01,1.0,73.0,8.0,1.0,2024-12-14,43.0,97.51,Wednesday,April,2020,2020Q2,0,361.9,12
90,100090,Body Care and Hygiene,Body Lotion,2,20.74,571,2024-02-12,Credit Card - MasterCard,MasterCard,The Grove,Los Angeles,California,US,Greg,White,Female,54.0,1970-05-02,0.0,1474.0,1.0,0.0,2024-05-02,6.0,76.39,Monday,February,2024,2024Q1,0,154.65,7
91,100091,Hair Care,Hair Oil,3,43.5,405,2020-11-20,Credit Card - AMEX,AMEX,Yorkdale Shopping Centre,Toronto,Ontario,Canada,Mary,Mitchell,Female,44.0,1980-08-21,1.0,1296.0,5.0,0.0,2022-10-29,12.0,157.1,Friday,November,2020,2020Q4,0,370.98,15
